Year,HHID,tenure,Othertenure,room,area,skeleton,constmat,car,motorcycle,bike,radio,cassette,tvbw,tvcr,vcr,computer,cellphone,freezer,refrigerator,frez_refrig,oven,vacuum,washer,sewing,fan,cooler_water_movable,cooler_gas_movable,dishwasher,Microwave,none,pipewater,electricity,pipegas,phone,internet,bathroom,kitchen,cooler,centralcooler,centralheat,pakage,cooler_gas,seweragenetwork,cookfuel,heatfuel,hotwater,party_month,party_year,ceremony_month,ceremony_year,homerepaire_month,homerepaire_year,prtrip_month,prtrip_year,frtrip_month,frtrip_year,bastari_month,bastari_year,operation_month,operation_year,other_month,other_year,other_name,noceremony,noceremony_year,cooperation,consumption_cooperations,house_cooperations,other_cooperations
1376,ADDRESS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1377,ADDRESS,Q1,,Q2,Q3,Q4,Q4_1,Q5_01,Q5_02,Q5_03,Q5_05,Q5_06,Q5_07,Q5_08,Q5_14,Q5_15,,Q5_09,Q5_10,,Q5_11,Q5_12,Q5_13,Q5_04,,,,,,,Q6_1,Q6_2,Q6_3,Q6_6,,Q6_4,Q6_8,Q6_5,,Q6_7,,,,Q7A,Q7B,,,,,,,,,,,,,,,,,,,,,,,,
1378,ADDRESS,Q1,,Q2,Q3,Q4,Q4_1,Q5_01,Q5_02,Q5_03,Q5_05,Q5_06,Q5_07,Q5_08,Q5_14,Q5_15,Q5_16,Q5_09,Q5_10,,Q5_11,Q5_12,Q5_13,Q5_04,,,,,,,Q6_1,Q6_2,Q6_3,Q6_6,,Q6_4,Q6_8,Q6_5,,Q6_7,,,,Q7A,Q7B,,,,,,,,,,,,,,,,,,,,,Q8_1,Q8_2_1,Q8_2_2,Q8_2_3
1379,ADDRESS,Q1,,Q2,Q3,Q4,Q4_1,Q5_01,Q5_02,Q5_03,Q5_05,Q5_06,Q5_07,Q5_08,Q5_14,Q5_15,Q5_16,Q5_09,Q5_10,,Q5_11,Q5_12,Q5_13,Q5_04,,,,,,,Q6_1,Q6_2,Q6_3,Q6_6,,Q6_4,Q6_8,Q6_5,,Q6_7,,,,Q7A,Q7B,,,,,,,,,,,,,,,,,,,,,Q8_1,Q8_2_1,Q8_2_2,Q8_2_3
1380,ADDRESS,Q1,,Q2,Q3,Q4,Q4_1,Q5_01,Q5_02,Q5_03,Q5_05,Q5_06,Q5_07,Q5_08,Q5_14,Q5_15,Q5_16,Q5_09,Q5_10,,Q5_11,Q5_12,Q5_13,Q5_04,,,,,,,Q6_1,Q6_2,Q6_3,Q6_6,,Q6_4,Q6_8,Q6_5,,Q6_7,,,,Q7A,Q7B,,,,,,,,,,,,,,,,,,,,,Q8_1,Q8_2_1,Q8_2_2,Q8_2_3
1381,ADDRESS,Q1,,Q2,Q3,Q4,Q4_1,Q5_01,Q5_02,Q5_03,Q5_05,Q5_06,Q5_07,Q5_08,Q5_14,Q5_15,Q5_16,Q5_09,Q5_10,,Q5_11,Q5_12,Q5_13,Q5_04,Q5_17,Q5_18,,,,,Q6_01,Q6_02,Q6_03,Q6_06,Q6_10,Q6_04,Q6_08,Q6_05,Q6_09,Q6_07,,,,Q7A,Q7B,,,,,,,,,,,,,,,,,,,,,,,,
1382,ADDRESS,Q1,,Q2,Q3,Q4,Q4_1,Q5_01,Q5_02,Q5_03,Q5_05,Q5_06,Q5_07,Q5_08,Q5_14,Q5_15,Q5_16,Q5_09,Q5_10,,Q5_11,Q5_12,Q5_13,Q5_04,Q5_17,Q5_18,,,,,Q6_01,Q6_02,Q6_03,Q6_06,Q6_10,Q6_04,Q6_08,Q6_05,Q6_09,Q6_07,,,,Q7A,Q7B,,,,,,,,,,,,,,,,,,,,,,,,
1383,Address,DYCOL01,,DYCOL02,DYCOL03,DYCOL04,DYCOL05,DYCOL06,DYCOL07,DYCOL08,DYCOL09,DYCOL10,DYCOL11,DYCOL12,DYCOL13,DYCOL14,DYCOL15,DYCOL16,DYCOL17,,DYCOL18,DYCOL19,DYCOL20,DYCOL21,DYCOL22,DYCOL23,,,,DYCOL24,DYCOL25,DYCOL26,DYCOL27,DYCOL28,DYCOL29,DYCOL30,DYCOL31,DYCOL32,DYCOL33,DYCOL34,,,,DYCOL35,DYCOL36,,,,,,,,,,,,,,,,,,,,,,,,
1384,Address,DYCOL01,,DYCOL02,DYCOL03,DYCOL04,DYCOL05,DYCOL06,DYCOL07,DYCOL08,DYCOL09,DYCOL10,DYCOL11,DYCOL12,DYCOL13,DYCOL14,DYCOL15,DYCOL16,DYCOL17,DYCOL18,DYCOL19,DYCOL20,DYCOL21,DYCOL22,DYCOL23,DYCOL24,,,,DYCOL25,DYCOL26,DYCOL27,DYCOL28,DYCOL29,DYCOL30,DYCOL31,DYCOL32,DYCOL33,DYCOL34,DYCOL35,,,,DYCOL36,DYCOL37,,DYCOL38,DYCOL39,DYCOL40,DYCOL41,DYCOL42,DYCOL43,DYCOL44,DYCOL45,DYCOL46,DYCOL47,,,DYCOL48,,DYCOL49,DYCOL50,,DYCOL51,DYCOL52,,,,
1385,ADDRESS,DYCOL01,,DYCOL02,DYCOL03,DYCOL04,DYCOL05,DYCOL06,DYCOL07,DYCOL08,DYCOL09,DYCOL10,DYCOL11,DYCOL12,DYCOL13,DYCOL14,DYCOL15,DYCOL16,DYCOL17,DYCOL18,DYCOL19,DYCOL20,DYCOL21,DYCOL22,DYCOL23,DYCOL24,DYCOL25,DYCOL26,,DYCOL27,DYCOL28,DYCOL29,DYCOL30,DYCOL31,DYCOL32,DYCOL33,DYCOL34,DYCOL35,DYCOL36,DYCOL37,DYCOL38,DYCOL39,,DYCOL40,DYCOL41,,DYCOL42,DYCOL43,DYCOL44,DYCOL45,DYCOL46,DYCOL47,DYCOL48,DYCOL49,DYCOL50,DYCOL51,,,DYCOL52,,DYCOL53,DYCOL54,,DYCOL55,,,,,
1386,Address,DYCOL01,,DYCOL02,DYCOL03,DYCOL04,DYCOL05,DYCOL06,DYCOL07,DYCOL08,DYCOL09,DYCOL10,DYCOL11,DYCOL12,DYCOL13,DYCOL14,DYCOL15,DYCOL16,DYCOL17,DYCOL18,DYCOL19,DYCOL20,DYCOL21,DYCOL22,DYCOL23,DYCOL24,DYCOL25,DYCOL26,,DYCOL27,DYCOL28,DYCOL29,DYCOL30,DYCOL31,DYCOL32,DYCOL33,DYCOL34,DYCOL35,DYCOL36,DYCOL37,DYCOL38,DYCOL39,DYCOL40,DYCOL41,DYCOL42,DYCOL43,DYCOL44,DYCOL45,DYCOL46,DYCOL47,DYCOL48,DYCOL49,DYCOL50,DYCOL51,DYCOL52,DYCOL53,,,DYCOL54,,DYCOL55,DYCOL56,,DYCOL57,,,,,
1387,Address,DYCOL01,DYCOL02,DYCOL03,DYCOL04,DYCOL05,DYCOL06,DYCOL07,DYCOL08,DYCOL09,DYCOL10,DYCOL11,DYCOL12,DYCOL13,DYCOL14,DYCOL15,DYCOL16,DYCOL17,DYCOL18,DYCOL19,DYCOL20,DYCOL21,DYCOL22,DYCOL23,DYCOL24,DYCOL25,DYCOL26,DYCOL27,,DYCOL28,DYCOL29,DYCOL30,DYCOL31,DYCOL32,DYCOL33,DYCOL34,DYCOL35,DYCOL36,DYCOL37,DYCOL38,DYCOL39,DYCOL40,DYCOL41,DYCOL42,DYCOL43,DYCOL44,DYCOL45,DYCOL46,DYCOL47,DYCOL48,DYCOL49,DYCOL50,DYCOL51,DYCOL52,DYCOL53,DYCOL54,,,DYCOL55,,DYCOL56,DYCOL57,,DYCOL58,,,,,
1388,Address,DYCOL01,DYCOL02,DYCOL03,DYCOL04,DYCOL05,DYCOL06,DYCOL07,DYCOL08,DYCOL09,DYCOL10,DYCOL11,DYCOL12,DYCOL13,DYCOL14,DYCOL15,DYCOL16,DYCOL17,DYCOL18,DYCOL19,DYCOL20,DYCOL21,DYCOL22,DYCOL23,DYCOL24,DYCOL25,DYCOL26,DYCOL27,,DYCOL28,DYCOL29,DYCOL30,DYCOL31,DYCOL32,DYCOL33,DYCOL34,DYCOL35,DYCOL36,DYCOL37,DYCOL38,DYCOL39,DYCOL40,DYCOL41,DYCOL42,DYCOL43,DYCOL44,DYCOL45,DYCOL46,DYCOL47,DYCOL48,DYCOL49,DYCOL50,DYCOL51,DYCOL52,DYCOL53,DYCOL54,,,DYCOL55,,DYCOL56,DYCOL57,,DYCOL58,,,,,
1389,Address,DYCOL01,DYCOL02,DYCOL03,DYCOL04,DYCOL05,DYCOL06,DYCOL07,DYCOL08,DYCOL09,DYCOL10,DYCOL11,DYCOL12,DYCOL13,DYCOL14,DYCOL15,DYCOL16,DYCOL17,DYCOL18,DYCOL19,DYCOL20,DYCOL21,DYCOL22,DYCOL23,DYCOL24,DYCOL25,DYCOL26,DYCOL27,,DYCOL28,DYCOL29,DYCOL30,DYCOL31,DYCOL32,DYCOL33,DYCOL34,DYCOL35,DYCOL36,DYCOL37,DYCOL38,DYCOL39,DYCOL40,DYCOL41,DYCOL42,DYCOL43,DYCOL44,DYCOL45,DYCOL46,DYCOL47,DYCOL48,DYCOL49,DYCOL50,DYCOL51,DYCOL52,DYCOL53,DYCOL54,,,DYCOL55,,DYCOL56,DYCOL57,DYCOL59,DYCOL58,,,,,
1390,Address,DYCOL01,DYCOL02,DYCOL03,DYCOL04,DYCOL05,DYCOL06,DYCOL07,DYCOL08,DYCOL09,DYCOL10,DYCOL11,DYCOL12,DYCOL13,DYCOL14,DYCOL15,DYCOL16,DYCOL17,DYCOL18,DYCOL19,DYCOL20,DYCOL21,DYCOL22,DYCOL23,DYCOL24,DYCOL25,DYCOL26,DYCOL27,,DYCOL28,DYCOL29,DYCOL30,DYCOL31,DYCOL32,DYCOL33,DYCOL34,DYCOL35,DYCOL36,DYCOL37,DYCOL38,DYCOL39,DYCOL40,DYCOL41,DYCOL42,DYCOL43,DYCOL44,DYCOL45,DYCOL46,DYCOL47,DYCOL48,DYCOL49,DYCOL50,DYCOL51,DYCOL52,DYCOL53,DYCOL54,,,DYCOL55,,DYCOL56,DYCOL57,DYCOL59,DYCOL58,,,,,
1391,Address,DYCOL01,DYCOL02,DYCOL03,DYCOL04,DYCOL05,DYCOL06,DYCOL07,DYCOL08,DYCOL09,DYCOL10,DYCOL11,DYCOL12,DYCOL13,DYCOL14,DYCOL15,DYCOL16,DYCOL17,DYCOL18,DYCOL19,DYCOL20,DYCOL21,DYCOL22,DYCOL23,DYCOL24,DYCOL25,DYCOL26,DYCOL27,DYCOL28,DYCOL29,DYCOL30,DYCOL31,DYCOL32,DYCOL33,DYCOL34,DYCOL35,DYCOL36,DYCOL37,DYCOL38,DYCOL39,DYCOL40,DYCOL41,DYCOL42,DYCOL43,DYCOL44,DYCOL45,DYCOL46,DYCOL47,DYCOL48,DYCOL49,DYCOL50,DYCOL51,DYCOL52,DYCOL53,DYCOL54,DYCOL55,,,DYCOL56,DYCOL57,DYCOL58,DYCOL59,DYCOL60,DYCOL61,,,,,
1392,Address,DYCOL01,DYCOL02,DYCOL03,DYCOL04,DYCOL05,DYCOL06,DYCOL07,DYCOL08,DYCOL09,DYCOL10,DYCOL11,DYCOL12,DYCOL13,DYCOL14,DYCOL15,DYCOL16,DYCOL17,DYCOL18,DYCOL19,DYCOL20,DYCOL21,DYCOL22,DYCOL23,DYCOL24,DYCOL25,DYCOL26,DYCOL27,DYCOL28,DYCOL29,DYCOL30,DYCOL31,DYCOL32,DYCOL33,DYCOL34,DYCOL35,DYCOL36,DYCOL37,DYCOL38,DYCOL39,DYCOL40,DYCOL41,DYCOL42,DYCOL43,DYCOL44,DYCOL45,DYCOL46,DYCOL47,DYCOL48,DYCOL49,DYCOL50,DYCOL51,DYCOL52,DYCOL53,DYCOL54,DYCOL55,,,DYCOL56,DYCOL57,DYCOL58,DYCOL59,DYCOL60,DYCOL61,,,,,
1393,Address,DYCOL01,DYCOL02,DYCOL03,DYCOL04,DYCOL05,DYCOL06,DYCOL07,DYCOL08,DYCOL09,DYCOL10,DYCOL11,DYCOL12,DYCOL13,DYCOL14,DYCOL15,DYCOL16,DYCOL17,DYCOL18,DYCOL19,DYCOL20,DYCOL21,DYCOL22,DYCOL23,DYCOL24,DYCOL25,DYCOL26,DYCOL27,DYCOL28,DYCOL29,DYCOL30,DYCOL31,DYCOL32,DYCOL33,DYCOL34,DYCOL35,DYCOL36,DYCOL37,DYCOL38,DYCOL39,DYCOL40,DYCOL41,DYCOL42,DYCOL43,DYCOL44,DYCOL45,DYCOL46,DYCOL47,DYCOL48,DYCOL49,DYCOL50,DYCOL51,DYCOL52,DYCOL53,DYCOL54,DYCOL55,,,DYCOL56,DYCOL57,DYCOL58,DYCOL59,DYCOL60,DYCOL61,,,,,
1394,Address,DYCOL01,DYCOL02,DYCOL03,DYCOL04,DYCOL05,DYCOL06,DYCOL07,DYCOL08,DYCOL09,DYCOL10,DYCOL11,DYCOL12,DYCOL13,DYCOL14,DYCOL15,DYCOL16,DYCOL17,DYCOL18,DYCOL19,DYCOL20,DYCOL21,DYCOL22,DYCOL23,DYCOL24,DYCOL25,DYCOL26,DYCOL27,DYCOL28,DYCOL29,DYCOL30,DYCOL31,DYCOL32,DYCOL33,DYCOL34,DYCOL35,DYCOL36,DYCOL37,DYCOL38,DYCOL39,DYCOL40,DYCOL41,DYCOL42,DYCOL43,DYCOL44,DYCOL45,DYCOL46,DYCOL47,DYCOL48,DYCOL49,DYCOL50,DYCOL51,DYCOL52,DYCOL53,DYCOL54,DYCOL55,,,DYCOL56,DYCOL57,DYCOL58,DYCOL59,DYCOL60,DYCOL61,,,,,
1395,Address,DYCOL01,DYCOL02,DYCOL03,DYCOL04,DYCOL05,DYCOL06,DYCOL07,DYCOL08,DYCOL09,DYCOL10,DYCOL11,DYCOL12,DYCOL13,DYCOL14,DYCOL15,DYCOL16,DYCOL17,DYCOL18,DYCOL19,DYCOL20,DYCOL21,DYCOL22,DYCOL23,DYCOL24,DYCOL25,DYCOL26,DYCOL27,DYCOL28,DYCOL29,DYCOL30,DYCOL31,DYCOL32,DYCOL33,DYCOL34,DYCOL35,DYCOL36,DYCOL37,DYCOL38,DYCOL39,DYCOL40,DYCOL41,DYCOL42,DYCOL43,DYCOL44,DYCOL45,DYCOL46,DYCOL47,DYCOL48,DYCOL49,DYCOL50,DYCOL51,DYCOL52,DYCOL53,DYCOL54,DYCOL55,,,DYCOL56,DYCOL57,DYCOL58,DYCOL59,DYCOL60,DYCOL61,,,,,
1396,Address,DYCOL01,,DYCOL03,DYCOL04,DYCOL05,DYCOL06,DYCOL07,DYCOL08,DYCOL09,DYCOL10,DYCOL11,DYCOL12,DYCOL13,DYCOL14,DYCOL15,DYCOL16,DYCOL17,DYCOL18,DYCOL19,DYCOL20,DYCOL21,DYCOL22,DYCOL23,DYCOL24,DYCOL25,DYCOL26,DYCOL27,DYCOL28,DYCOL29,DYCOL30,DYCOL31,DYCOL32,DYCOL33,DYCOL34,DYCOL35,DYCOL36,DYCOL37,DYCOL38,DYCOL39,DYCOL40,DYCOL41,DYCOL42,DYCOL43,DYCOL44,DYCOL45,,,,,,,,,,,,,,,,,,,,,,,
1397,Address,DYCOL01,,DYCOL03,DYCOL04,DYCOL05,DYCOL06,DYCOL07,DYCOL08,DYCOL09,DYCOL10,DYCOL11,DYCOL12,DYCOL13,DYCOL14,DYCOL15,DYCOL16,DYCOL17,DYCOL18,DYCOL19,DYCOL20,DYCOL21,DYCOL22,DYCOL23,DYCOL24,DYCOL25,DYCOL26,DYCOL27,DYCOL28,DYCOL29,DYCOL30,DYCOL31,DYCOL32,DYCOL33,DYCOL34,DYCOL35,DYCOL36,DYCOL37,DYCOL38,DYCOL39,DYCOL40,DYCOL41,DYCOL42,DYCOL43,DYCOL44,DYCOL45,,,,,,,,,,,,,,,,,,,,,,,
1398,Address,DYCOL01,,DYCOL03,DYCOL04,DYCOL05,DYCOL06,DYCOL07,DYCOL08,DYCOL09,DYCOL10,DYCOL11,DYCOL12,DYCOL13,DYCOL14,DYCOL15,DYCOL16,DYCOL17,DYCOL18,DYCOL19,DYCOL20,DYCOL21,DYCOL22,DYCOL23,DYCOL24,DYCOL25,DYCOL26,DYCOL27,DYCOL28,DYCOL29,DYCOL30,DYCOL31,DYCOL32,DYCOL33,DYCOL34,DYCOL35,DYCOL36,DYCOL37,DYCOL38,DYCOL39,DYCOL40,DYCOL41,DYCOL42,DYCOL43,DYCOL44,DYCOL45,,,,,,,,,,,,,,,,,,,,,,,
1399,Address,DYCOL01,,DYCOL03,DYCOL04,DYCOL05,DYCOL06,DYCOL07,DYCOL08,DYCOL09,DYCOL10,DYCOL11,DYCOL12,DYCOL13,DYCOL14,DYCOL15,DYCOL16,DYCOL17,DYCOL18,DYCOL19,DYCOL20,DYCOL21,DYCOL22,DYCOL23,DYCOL24,DYCOL25,DYCOL26,DYCOL27,DYCOL28,DYCOL29,DYCOL30,DYCOL31,DYCOL32,DYCOL33,DYCOL34,DYCOL35,DYCOL36,DYCOL37,DYCOL38,DYCOL39,DYCOL40,DYCOL41,DYCOL42,DYCOL43,DYCOL44,DYCOL45,,,,,,,,,,,,,,,,,,,,,,,
