NamePersian,CapitalNameFa,NameTransliteration,NameEnglish,NameWikipedia,admin1Name_en,CapitalNameTransliteration,SCICode,SCINo,MOICode,MIACode,ISO-3166-2-Number,ISO-3166-2-Code,DevCode,Fips,GN,admin1Pcode,MAPOBJECTID,EstablishedPYear,EstablishedGYear,Area,Population85SCI,Population89SCI,Population90SCI,Population95SCI,UrbanPopShare,CountyNo89,CountyNo90,CountyNo93,CountyNoSCI,DistrictNoSCI,DistrictNo90,DehestanNo89,DehestanNoSCI,CityNo89,CityNoSCI,AbadiNo,CountOfCounties,Province
اصفهان,اصفهان,Eşfahān,Esfahan,Isfahan,Isfahan,Eşfehān,10,10,4,3,4,IR-04,3,28,28,IR012,12,1316,1937,107029,4499327,4804457,4879312,5120850,85.4,23,23,24,23,45,48,125,126,100,106,1831,23,اصفهان
سیستان و بلوچستان,زاهدان,Sīstān va Balūchestān,Sistan and Baluchistan,Sistan and Baluchestan,Sistan and Baluchestan,Zāhedān,11,11,15,24,13,IR-13,6,4,4,IR026,26,1336,1957,180726,2349049,2733205,2534327,2775014,49,14,14,19,18,40,47,102,111,37,37,6553,14,سیستان و بلوچستان
کردستان,سنندج,Kordestān,Kurdistan,Kordestan,Kurdistan,Sanandaj,12,12,19,9,16,IR-16,13,16,16,IR017,17,1337,1958,29137,1416334,1467585,1493645,1603011,66,10,10,10,10,27,31,84,86,25,29,1702,10,کردستان
همدان,همدان,Hamadān,Hamadan,Hamadan,Hamadan,Hamadān,13,13,29,26,24,IR-24,19,9,9,IR009,9,1352,1973,19368,1674595,1699588,1758268,1738234,59.2,9,9,9,9,25,25,73,73,27,29,1075,9,همدان
چهارمحال و بختیاری,شهرکرد,Chahār Maḩāll va Bakhtīārī,Chahar Mahaal and Bakhtiari,Chaharmahal and Bakhtiari,Chaharmahal and Bakhtiari,Shahr-e Kord,14,14,8,27,8,IR-08,16,3,3,IR004,4,1352,1973,16332,843784,892909,895263,947763,58.2,7,7,9,9,19,24,41,49,27,36,766,7,چهارمحال و بختیاری
لرستان,خرم‌آباد,Lorestān,Lorestan,Lorestan,Lorestan,Khorramābād,15,15,25,13,20,IR-20,18,23,23,IR018,18,1352,1973,28294,1689650,1758226,1754243,1760649,61.3,10,10,10,10,27,29,84,85,25,25,2864,10,لرستان
ایلام,ایلام,Īlām,Ilam,Ilam,Ilam,Īlām,16,16,5,2,5,IR-05,21,10,10,IR011,11,1353,1974,20133,530464,566332,557599,580158,64,8,8,9,9,20,21,40,41,21,22,668,8,ایلام
کهگیلویه و بویراحمد,یاسوج,Kohgīlūyeh va Būyer Aḩmad,Kohkiluyeh and Buyer Ahmad,Kohgeluyeh and Boyer-Ahmad,Kohgiluyeh and Boyer-Ahmad,Yāsūj,17,17,22,16,18,IR-18,23,5,5,IR016,16,1355,1976,15504,621428,669139,658629,713052,52.6,7,7,8,8,17,18,43,45,16,17,1676,7,کهگیلویه و بویراحمد
بوشهر,بندر بوشهر,Būshehr,Bushehr,Bushehr,Bushehr,Bandar Būshehr,18,18,6,10,6,IR-06,15,22,22,IR003,3,1352,1973,22743,866490,943535,1032949,1163400,68.2,9,9,10,10,23,24,44,46,32,36,623,9,بوشهر
زنجان,زنجان,Zanjān,Zanjan,Zanjan,Zanjan,Zanjān,19,19,13,5,11,IR-11,17,36,36,IR031,31,1352,1973,21773,942818,983369,1015734,1057461,62.5,7,7,8,7,16,16,46,46,18,19,935,7,زنجان
سمنان,سمنان,Semnān,Semnan,Semnan,Semnan,Semnān,20,20,14,7,12,IR-12,22,25,25,IR025,25,1355,1976,97491,570835,624482,631218,702360,77,8,5,8,8,13,15,29,31,17,20,589,5,سمنان
یزد,یزد,Yazd,Yazd,Yazd,Yazd,Yazd,21,21,30,23,25,IR-25,20,40,40,IR030,30,1352,1973,73477,958323,1065893,1074428,1138533,82.8,11,10,10,10,22,19,51,43,24,21,1144,11,یزد
هرمزگان,بندرعباس,Hormozgān,Hormozgan,Hormozgan,Hormozgan,Bandar ‘Abbās,22,22,28,6,23,IR-23,14,11,11,IR010,10,1346,1967,70697,1365377,1558878,1578183,1776415,50,13,13,13,13,37,38,85,85,32,38,1731,13,هرمزگان
تهران,تهران,Tehrān,Tehran,Tehran,Tehran,Tehrān,23,23,7,4,7,IR-07,24,26,26,IR028,28,1357,1978,12981,11228625,12506116,12183391,13267637,92.8,14,14,16,16,29,33,64,71,41,44,757,14,تهران
اردبیل,اردبیل,Ardabīl,Ardabil,Ardabil,Ardabil,Ardabīl,24,24,3,22,3,IR-03,25,32,32,IR002,2,1372,1993,17800,1209968,1242956,1248488,1270420,64,10,10,10,10,27,29,69,71,24,26,1696,10,اردبیل
قم,قم,Qom,Qom,Qom,Qom,Qom,25,25,18,8,26,IR-26*,26,39,39,IR023,23,1375,1996,11526,1036714,1127712,1151672,1292283,95.2,1,1,1,1,5,5,9,9,6,6,203,1,قم
قزوین,قزوین,Qazvīn,Qazvin,Qazvin,Qazvin,Qazvīn,26,26,17,15,28,IR-28*,27,38,38,IR022,22,1376,1997,15567,1127734,1212463,1201565,1273761,73.1,6,5,6,6,19,19,46,46,25,25,842,5,قزوین
گلستان,گرگان,Golestān,Golestan,Golestan,Golestan,Gorgān,27,27,23,1,27,IR-27*,28,37,37,IR008,8,1376,1997,20367,1593055,1687086,1777014,1868819,51,14,14,14,14,27,27,60,60,25,26,1008,23,گلستان
خراسان شمالی,بجنورد,Khorāsān-e Shemālī,North Khorasan,North Khorasan,North Khorasan,Bojnūrd,28,28,9,11,31,IR-31*,30,43,43,IR021,21,1383,2004,28434,791930,838780,867727,863092,51.5,7,7,8,8,17,19,42,45,18,18,835,14,خراسان شمالی
خراسان جنوبی,بیرجند,Khorāsān-e Janūbī,South Khorasan,South Khorasan,South Khorasan,Bīrjand,29,29,10,14,29,IR-29*,29,41,41,IR027,27,1383,2004,151193,600568,676794,622534,768898,56,10,9,11,11,19,25,49,61,25,28,1703,16,خراسان جنوبی
البرز,کرج,Alborz,Alborz,Alborz,Alborz,Karaj,30,30,31,29,32,IR-32*,31,44,44,IR001,1,1389,2010,5833,2053233,2289000,2412513,2712400,90.5,4,4,6,5,10,11,22,25,16,16,355,8,البرز
