Geo4,Geo2,CapitalCounty,ProvinceFa,CountyFa,CountyCapital,MOICode,Pop85,Pop90,Pop95,EstYear,EstDateMOI,CountyEn,ProvinceEn,OldNameFa,OldNameEn,PrevCountyName,IGeo4,New,Vijeh,VijehYear
0305,03,No,آذربایجان شرقی,سراب,سراب,90,133617,131934,125341,1327,1327,Sarab,EastAzerbaijan,,,,0305,,No,
3001,30,Yes,البرز,کرج,کرج,99,1732275,2024765,1973470,1333,1333,Karaj,Alborz,,,,2305,*,Yes,
0905,09,No,خراسان رضوی,تربت حیدریه,تربت حیدریه,17,267604,210390,224626,1316,1316,Torbat-e-Heydarieh,RazaviKhorasan,,,,0905,,Yes,1386
0307,03,No,آذربایجان شرقی,مرند,مرند,93,232067,239209,244971,1327,1327,Marand,EastAzerbaijan,,,,0307,,Yes,
0311,03,No,آذربایجان شرقی,هشترود,هشترود,120,66042,60822,57199,1337,1337,Hashtrud,EastAzerbaijan,,,,0311,,No,
0312,03,No,آذربایجان شرقی,بناب,بناب,213,126888,129795,134892,1368,1368,Bonab,EastAzerbaijan,,,,0312,,No,
0313,03,No,آذربایجان شرقی,بستان‌آباد,بستان‌آباد,218,97239,94985,94769,1369,1369,Bostanabad,EastAzerbaijan,,,,0313,,No,
0314,03,No,آذربایجان شرقی,شبستر,شبستر,219,123888,124499,135421,1369,1369,Shabestar,EastAzerbaijan,,,,0314,,No,
0315,03,No,آذربایجان شرقی,کلیبر,کلیبر,209,89698,48837,46125,1368,1368,Kalibar,EastAzerbaijan,,,,0315,,No,
0316,03,No,آذربایجان شرقی,هریس,هریس,212,68300,67820,69093,1368,1368,Heris,EastAzerbaijan,,,,0316,,No,
0319,03,No,آذربایجان شرقی,جلفا,جلفا,243,53579,55166,61358,1374,1374,Jolfa,EastAzerbaijan,,,مرند,0307,*,No,
0320,03,No,آذربایجان شرقی,ملکان,ملکان,251,101518,106118,111319,1374,1374,Malekan,EastAzerbaijan,,,بناب,0312,*,No,
0321,03,No,آذربایجان شرقی,آذرشهر,آذرشهر,275,101479,107579,110311,1376,1376,Azarshahr,EastAzerbaijan,,,تبریز,0303,*,No,
0322,03,No,آذربایجان شرقی,اسکو,اسکو,277,85498,98988,158270,1376,1376,Osku,EastAzerbaijan,,,تبریز,0303,*,No,
0323,03,No,آذربایجان شرقی,چاراویماق,قره آغاج,287,34665,32745,31071,1379,1379,Charuymaq,EastAzerbaijan,,,هشترود,0311,*,No,
0324,03,No,آذربایجان شرقی,ورزقان,ورزقان,297,48112,45708,52650,1380,1380,Varzaqan,EastAzerbaijan,,,اهر,0302,*,No,
0325,03,No,آذربایجان شرقی,عجب‌شیر,عجب‌شیر,294,85031,66746,70852,1380,1380,Ajabshir,EastAzerbaijan,,,مراغه,0306,*,No,
0326,03,No,آذربایجان شرقی,خداآفرین,خمارلو,389,,34977,32995,1389,1389,Khodaafarin,EastAzerbaijan,,,کلیبر,0315,*,No,
0401,04,Yes,آذربایجان غربی,ارومیه,ارومیه,4,871204,963738,1040565,1316,1316,Urmia,WestAzerbaijan,,,,0401,,No,
0402,04,No,آذربایجان غربی,پیرانشهر,پیرانشهر,143,112994,123639,138864,1348,1348,Piranshahr,WestAzerbaijan,,,,0402,,No,
0310,03,No,آذربایجان شرقی,میانه,میانه,94,191291,185806,182848,1327,1327,Mianeh,EastAzerbaijan,,,,0310,,Yes,1391
0404,04,No,آذربایجان غربی,سردشت,سر دشت,144,105569,111590,118849,1348,1348,Sardasht,WestAzerbaijan,,,,0404,,No,
0405,04,No,آذربایجان غربی,سلماس,سلماس,116,183381,192591,196546,1337,1337,Salmas,WestAzerbaijan,,,,0405,,No,
0406,04,No,آذربایجان غربی,ماکو,ماکو,51,176411,88863,94751,1320,1320,Maku,WestAzerbaijan,,,,0406,,No,
0408,04,No,آذربایجان غربی,میان‌دوآب,میاندوآب,117,247307,260628,273949,1337,1337,Miandoab,WestAzerbaijan,,,,0408,,Yes,
2303,23,No,تهران,ری,ری,163,297711,319305,349700,1357,1357,Rey,Tehran,,,,2303,,Yes,
0409,04,No,آذربایجان غربی,نقده,نقده,118,118516,121602,127671,1337,1337,Naqadeh,WestAzerbaijan,,,,0409,,No,
0410,04,No,آذربایجان غربی,بوکان,بوکان,216,204308,224628,251409,1369,1369,Bukan,WestAzerbaijan,,,,0410,,No,
0411,04,No,آذربایجان غربی,شاهین‌دژ,شاهین دژ,227,90182,91113,92456,1369,1369,Shahindej,WestAzerbaijan,,,,0411,,No,
0412,04,No,آذربایجان غربی,تکاب,تکاب,226,82274,78122,80556,1369,1369,Takab,WestAzerbaijan,,,,0412,,No,
0413,04,No,آذربایجان غربی,اشنویه,اشنویه,259,64551,70030,73886,1375,1375,Oshnaviyeh,WestAzerbaijan,,,نقده,0409,*,No,
0414,04,No,آذربایجان غربی,چالدران,سیه چشمه,264,45641,46389,45060,1375,1375,Chaldoran,WestAzerbaijan,,,ماکو,0406,*,No,
0415,04,No,آذربایجان غربی,پلدشت,پلدشت,339,,42071,42170,1386,1386,Poldasht,WestAzerbaijan,,,ماکو,0406,*,No,
0416,04,No,آذربایجان غربی,چایپاره,قره ضیاء الدین,340,,43206,47292,1387,1387/12/14,Chaypareh,WestAzerbaijan,,,خوی,0403,*,No,
0417,04,No,آذربایجان غربی,شوط,شوط,341,,52519,55682,1386,1386,Showt,WestAzerbaijan,,,ماکو,0406,*,No,
0501,05,No,کرمانشاه,اسلام‌آباد غرب,اسلام‌آباد غرب,5,152500,151437,140876,1316,1316,Islamabad-e-gharb,Kermanshah,,,,0501,,No,
0502,05,Yes,کرمانشاه,کرمانشاه,کرمانشاه,39,967196,1030978,1083833,1316,1316,Kermanshah,Kermanshah,,,,0502,,No,
0503,05,No,کرمانشاه,پاوه,پاوه,111,52783,56837,60431,1337,1337,Paveh,Kermanshah,,,,0503,,No,
0504,05,No,کرمانشاه,سرپل ذهاب,سرپل ذهاب,193,84945,85616,85342,1359,1359,Sarpol-e-Zahab,Kermanshah,,,,0504,,No,
0505,05,No,کرمانشاه,سنقر,سنقر,137,97012,91935,81661,1341,1341,Sonqor,Kermanshah,,,,0505,,No,
0506,05,No,کرمانشاه,قصرشیرین,قصرشیرین,70,24383,19821,23929,1324,1324,Qasr-e-Shirin,Kermanshah,,,,0506,,No,
0507,05,No,کرمانشاه,کنگاور,کنگاور,191,80608,81051,76216,1359,1359,Kangavar,Kermanshah,,,,0507,,No,
0508,05,No,کرمانشاه,گیلانغرب,گیلانغرب,194,62945,62858,57007,1359,1359,Gilan-e-gharb,Kermanshah,,,,0508,,No,
0509,05,No,کرمانشاه,جوانرود,جوانرود,201,62797,71235,75169,1368,1368,Javanrud,Kermanshah,,,,0509,,No,
0510,05,No,کرمانشاه,صحنه,صحنه,234,76414,76678,70757,1372,1372,Sahneh,Kermanshah,,,,0510,,No,
0511,05,No,کرمانشاه,هرسین,هرسین,252,91300,86342,78350,1374,1374,Harsin,Kermanshah,,,کرمانشاه,0502,*,No,
0512,05,No,کرمانشاه,ثلاث باباجانی,تازه آباد,300,38580,38475,35219,1381,1381,Solas-e-Babajani,Kermanshah,,,جوانرود,0509,*,No,
0513,05,No,کرمانشاه,دالاهو,کرند غرب,327,42598,39837,35987,1384,1384,Dalaho,Kermanshah,,,اسلام‌آباد غرب,0501,*,No,
0514,05,No,کرمانشاه,روانسر,روانسر,319,45324,46395,47657,1383,1383,Ravansar,Kermanshah,,,جوانرود,0509,*,No,
0403,04,No,آذربایجان غربی,خوی,خوی,22,370072,354309,348664,1316,1316,Khoy,WestAzerbaijan,,,,0403,,Yes,1386
0602,06,No,خوزستان,اندیمشک,اندیمشک,192,161185,167126,171412,1359,1359,Andimeshk,Khuzestan,,,,0602,,No,
0603,06,Yes,خوزستان,اهواز,اهواز,7,1338126,1395184,1302591,1316,1316,Ahvaz,Khuzestan,,,,0603,,No,
0604,06,No,خوزستان,ایذه,ایذه,112,195018,203621,198871,1337,1337,Izeh,Khuzestan,,,,0604,,No,
0605,06,No,خوزستان,بندر ماهشهر,بندر ماهشهر,129,252587,278037,296271,1338,1338,Mahshahr,Khuzestan,,,,0605,,No,
0606,06,No,خوزستان,بهبهان,بهبهان,12,175373,179703,180593,1316,1316,Behbahan,Khuzestan,,,,0606,,No,
0705,07,No,فارس,داراب,داراب,106,177938,189345,201489,1337,1337,Darab,Fars,,,,0705,,Yes,1398
0608,06,No,خوزستان,دزفول,دزفول,82,401558,423552,443971,1325,1325,Dezful,Khuzestan,,,,0608,,Yes,1386
0609,06,No,خوزستان,دشت آزادگان,سوسنگرد,61,128941,99831,107989,1323,1323,Dasht-e-Azadegan,Khuzestan,,,,0609,,No,
0610,06,No,خوزستان,رامهرمز,رامهرمز,121,123930,105418,113776,1337,1337,Ramhormoz,Khuzestan,,,,0610,,No,
0611,06,No,خوزستان,شادگان,شادگان,169,138915,153355,138480,1358,1358,Shadegan,Khuzestan,,,,0611,,No,
0612,06,No,خوزستان,شوشتر,شوشتر,87,187337,191444,192028,1326,1326,Shushtar,Khuzestan,,,,0612,,No,
0613,06,No,خوزستان,مسجدسلیمان,مسجد سلیمان,100,171778,113257,113419,1333,1333,Masjed-Soleyman,Khuzestan,,,,0613,,No,
0614,06,No,خوزستان,شوش,شوش,207,192162,202762,205720,1368,1368,Shush,Khuzestan,,,,0614,,No,
0615,06,No,خوزستان,باغ‌ملک,باغ‌ملک,225,104178,107450,105384,1369,1369,Baghmalek,Khuzestan,,,,0615,,No,
0616,06,No,خوزستان,امیدیه,امیدیه,255,86201,90420,92335,1375,1375,Omidiyeh,Khuzestan,,,بندر ماه‌شهر,0605,*,No,
0617,06,No,خوزستان,لالی,لالی,313,36173,37381,37963,1382,1382,Lali,Khuzestan,,,مسجدسلیمان,0613,*,No,
0618,06,No,خوزستان,هندیجان,هندیجان,314,,37440,38762,1382,1382,Hendijan,Khuzestan,,,بندر ماه‌شهر,0605,*,No,
0619,06,No,خوزستان,رامشیر,رامشیر,329,51081,48943,54004,1384,1384,Ramshir,Khuzestan,,,رامهرمز,0610,*,No,
0620,06,No,خوزستان,گتوند,گتوند,330,59261,64951,65468,1384,1384,Guotvand,Khuzestan,,,شوشتر,0612,*,No,
0621,06,No,خوزستان,اندیکا,قلعه خواجه,343,,50797,47629,1386,1386,Andika,Khuzestan,,,مسجدسلیمان,0613,*,No,
0622,06,No,خوزستان,هفتکل,هفتکل,352,,22391,22119,1386,1386,Haftgol,Khuzestan,,,رامهرمز,0610,*,No,
0623,06,No,خوزستان,هویزه,هویزه,347,,34312,38886,1386,1386,Hoveizeh,Khuzestan,,,دشت آزادگان,0609,*,No,
0624,06,No,خوزستان,باوی,ملاثانی,381,,89160,96484,1389,1389,Bavi,Khuzestan,,,اهواز,0603,*,No,
0625,06,No,خوزستان,حمیدیه,حمیدیه,409,,,53762,1391,1391/10/09,Hamidiye,Khuzestan,,,اهواز,0603,*,No,
0626,06,No,خوزستان,آغاجاری,آغاجاری,405,,,17654,1391,1391/05/10,Aghajari,Khuzestan,,,بهبهان,0606,*,No,
0627,06,No,خوزستان,کارون,کوت عبدالله,419,,,105872,1391,1391/11/04,Karun,Khuzestan,,,اهواز,0603,*,No,
0701,07,No,فارس,آباده,آباده,1,92959,98188,100831,1316,1316,Abadeh,Fars,,,,0701,,No,
0702,07,No,فارس,استهبان,استهبان,105,67876,66172,68850,1337,1337,Estahban,Fars,,,,0702,,No,
0703,07,No,فارس,اقلید,اقلید,155,106664,93975,93763,1354,1354,Eqlid,Fars,,,,0703,,No,
2911,29,No,خراسان جنوبی,طبس,طبس,133,66432,69658,72617,1339,1339,Tabas,SouthKhorasan,,,,0910,*,Yes,
0908,09,No,خراسان رضوی,سبزوار,سبزوار,29,440133,319893,306310,1316,1316,Sabzevar,RazaviKhorasan,,,,0908,,Yes,
0706,07,No,فارس,سپیدان,اردکان,159,90399,89956,91049,1354,1354,Sepidan,Fars,,,,0706,,No,
0707,07,Yes,فارس,شیراز,شیراز,32,1711186,1700687,1869001,1316,1316,Shiraz,Fars,,,,0707,,No,
1104,11,No,سیستان و بلوچستان,زابل,زابل,24,329317,259365,165666,1316,1316,Zabol,SistanAndBaluchestan,,,,1104,,Yes,1386
0709,07,No,فارس,فیروزآباد,فیروز‌آباد,58,116622,119721,121417,1322,1322,Firuzabad,Fars,,,,0709,,No,
0917,09,No,خراسان رضوی,نیشابور,نیشابور,52,448170,433105,451780,1320,1320,Nishapur,RazaviKhorasan,,,,0917,,Yes,
0607,06,No,خوزستان,خرمشهر,خرمشهر,21,157555,163701,170976,1316,1316,Khorramshahr,Khuzestan,,,,0607,,Yes,1394
1102,11,No,سیستان و بلوچستان,چابهار,چابهار,85,216681,264051,283204,1326,1326,Chabahar,SistanAndBaluchestan,,,,1102,,Yes,
0713,07,No,فارس,ممسنی,نور آباد,135,166308,116386,117527,1340,1340,Mamasani,Fars,,,,0713,,No,
0714,07,No,فارس,نی ریز,نی ریز,107,107406,113750,113291,1337,1337,Neyriz,Fars,,,,0714,,No,
0715,07,No,فارس,لامرد,لامرد,214,78629,83916,91782,1368,1368,Lamerd,Fars,,,,0715,,No,
0716,07,No,فارس,بوانات,بوانات,248,46434,48416,50418,1374,1374,Bavanat,Fars,,,آباده,0701,*,No,
0717,07,No,فارس,ارسنجان,ارسنجان,276,41488,41476,42725,1376,1376,Arsanjan,Fars,,,مرودشت,0712,*,No,
0718,07,No,فارس,خرم‌بید,صفاشهر,269,45381,50252,50522,1376,1376,Khorrambid,Fars,,,آباده,0701,*,No,
0719,07,No,فارس,زرین‌دشت,حاجی‌آباد,291,62817,69438,73199,1379,1379,Zarrindasht,Fars,,,داراب,0705,*,No,
0720,07,No,فارس,قیر و کارزین,قیر,298,65148,65045,71203,1380,1380,Qir-o-Karzin,Fars,,,فیروزآباد,0709,*,No,
0721,07,No,فارس,مهر,مهر,299,54413,59727,64827,1380,1380,Mehr,Fars,,,لامرد,0715,*,No,
0722,07,No,فارس,فراشبند,فراشبند,308,45678,42760,45459,1381,1381,Farashband,Fars,,,فیروزآباد,0709,*,No,
0723,07,No,فارس,پاسارگاد,سعادت‌شهر,328,30632,31504,30118,1384,1384,Pasargad,Fars,,,مرودشت,0712,*,No,
0724,07,No,فارس,خنج,خنج,324,40296,41133,41359,1383,1383,Khonj,Fars,,,لارستان,0711,*,No,
0725,07,No,فارس,سروستان,سروستان,338,,40531,38114,1386,1386,Sarvestan,Fars,,,شیراز,0707,*,No,
0726,07,No,فارس,رستم,مصیری,363,,46851,44386,1387,1387,Rostam,Fars,,,ممسنی,0713,*,No,
0727,07,No,فارس,گراش,گراش,380,,47055,53907,1388,1388,Gerash,Fars,,,لارستان,0711,*,No,
0728,07,No,فارس,کوار,کوار,391,,77836,83883,1389,1389,Kavar,Fars,,,شیراز,0707,*,No,
0729,07,No,فارس,خرامه,خرامه,393,,61580,54864,1389,1389,Kherameh,Fars,,,شیراز,0707,*,No,
0801,08,No,کرمان,بافت,بافت,136,145014,75940,84103,1341,1341,Baft,Kerman,,,,0801,,No,
0802,08,No,کرمان,بم,بم,10,282311,195603,228241,1316,1316,Bam,Kerman,,,,0802,,No,
0803,08,No,کرمان,جیرفت,جیرفت,78,187595,277748,308858,1325,1325,Jiroft,Kerman,,,,0803,,No,
0806,08,No,کرمان,سیرجان,سیرجان,66,245812,267697,324103,1323,1323,Sirjan,Kerman,,,,0806,,Yes,1386
0805,08,No,کرمان,زرند,زرند,156,120811,129104,138133,1354,1354,Zarand,Kerman,,,,0805,,No,
2003,20,No,سمنان,شاهرود,شاهرود,53,234825,238830,218628,1321,1321,Shahrud,Semnan,,,,2003,,Yes,1386
0807,08,No,کرمان,شهربابک,شهربابک,157,102537,90495,103975,1354,1354,Shahr-e-Babak,Kerman,,,,0807,,No,
0808,08,Yes,کرمان,کرمان,کرمان,38,677650,722484,738724,1316,1316,Kerman,Kerman,,,,0808,,No,
0809,08,No,کرمان,کهنوج,کهنوج,180,105207,86290,95848,1359,1359,Kahnuj,Kerman,,,,0809,,No,
0810,08,No,کرمان,بردسیر,بردسیر,175,89265,73738,81983,1358,1358,Bardsir,Kerman,,,,0810,,No,
0811,08,No,کرمان,راور,راور,263,39462,40295,43198,1375,1375,Ravar,Kerman,,,کرمان,0808,*,No,
0812,08,No,کرمان,عنبرآباد,عنبر‌آباد,310,114964,85942,82438,1382,1382,Anbarabad,Kerman,,,جیرفت,0803,*,No,
0813,08,No,کرمان,منوجان,منوجان,303,63845,64528,65705,1381,1381,Manujan,Kerman,,,کهنوج,0809,*,No,
0814,08,No,کرمان,کوهبنان,کوهبنان,322,24879,21721,21205,1383,1383,Kuhbonan,Kerman,,,زرند,0805,*,No,
0815,08,No,کرمان,رودبار جنوب,رودبار,335,87594,104421,105992,1384,1384,Roudbar-e-Jonub,Kerman,,,کهنوج,0809,*,No,
0816,08,No,کرمان,قلعه گنج,قلعه گنج,336,70292,76376,76495,1384,1384,Ghaleye-Ganj,Kerman,,,کهنوج,0809,*,No,
0817,08,No,کرمان,ریگان,محمدآباد,359,,66335,88410,1386,1386,Reygan,Kerman,,,بم,0802,*,No,
0818,08,No,کرمان,رابر,رابر,379,,34392,35362,1388,1388,Rabar,Kerman,,,بافت,0801,*,No,
0819,08,No,کرمان,فهرج,فهرج,373,,68038,67096,1388,1388,Fahraj,Kerman,,,بم,0802,*,No,
0820,08,No,کرمان,انار,انار,372,,35295,36897,1388,1388,Anar,Kerman,,,رفسنجان,0804,*,No,
0821,08,No,کرمان,نرماشیر,نرماشیر,392,,85229,54228,1389,1389,Narmashir,Kerman,,,بم,0802,*,No,
0822,08,No,کرمان,فاریاب,فاریاب,394,,34417,34000,1389,1389,Faryab,Kerman,,,کهنوج,0809,*,No,
0823,08,No,کرمان,ارزوئیه,ارزوئیه,397,,41979,38510,1389,1389,Arzuiyeh,Kerman,,,بافت,0801,*,No,
0904,09,No,خراسان رضوی,تایباد,تایباد,154,145992,108424,117564,1354,1354,Taybad,RazaviKhorasan,,,,0904,,No,
0704,07,No,فارس,جهرم,جهرم,65,202445,209312,228532,1323,1323,Jahrom,Fars,,,,0704,,Yes,
0906,09,No,خراسان رضوی,تربت جام,تربت جام,102,244455,262712,267671,1336,1336,Torbat-e-Jam,RazaviKhorasan,,,,0906,,No,
0907,09,No,خراسان رضوی,درگز,درگز,91,75925,74326,72355,1327,1327,Dargaz,RazaviKhorasan,,,,0907,,No,
0708,07,No,فارس,فسا,فسا,33,192946,203129,205187,1316,1316,Fasa,Fars,,,,0708,,Yes,
0913,09,No,خراسان رضوی,قوچان,قوچان,36,186022,179714,174495,1316,1316,Quchan,RazaviKhorasan,,,,0913,,No,
0914,09,No,خراسان رضوی,کاشمر,کاشمر,59,149358,157149,168664,1322,1322,Kashmar,RazaviKhorasan,,,,0914,,No,
0915,09,No,خراسان رضوی,گناباد,گناباد,42,110135,80783,88753,1316,1316,Gonabad,RazaviKhorasan,,,,0915,,No,
0916,09,Yes,خراسان رضوی,مشهد,مشهد,45,2868350,3069941,3372660,1316,1316,Mashhad,RazaviKhorasan,,,,0916,,No,
0710,07,No,فارس,کازرون,کازرون,77,266564,254704,266217,1325,1325,Kazerun,Fars,,,,0710,,Yes,1398
0918,09,No,خراسان رضوی,چناران,چناران,217,110966,125601,155013,1369,1369,Chenaran,RazaviKhorasan,,,,0918,,No,
0919,09,No,خراسان رضوی,خواف,خواف,202,110378,121859,138972,1368,1368,Khaf,RazaviKhorasan,,,,0919,,No,
0920,09,No,خراسان رضوی,سرخس,سرخس,204,87442,89956,97519,1368,1368,Sarakhs,RazaviKhorasan,,,,0920,,No,
0922,09,No,خراسان رضوی,فریمان,فریمان,230,87266,93930,99001,1372,1372,Fariman,RazaviKhorasan,,,,0922,,No,
0923,09,No,خراسان رضوی,بردسکن,بردسکن,242,69551,72626,75631,1374,1374,Bardaskan,RazaviKhorasan,,,کاشمر,0914,*,No,
0927,09,No,خراسان رضوی,رشتخوار,رشتخوار,301,57994,60632,60689,1381,1381,Rashtkhar,RazaviKhorasan,,,تربت حیدریه,0905,*,No,
0928,09,No,خراسان رضوی,کلات,کلات,311,40667,38232,36237,1382,1382,Kalat,RazaviKhorasan,,,مشهد,0916,*,No,
0929,09,No,خراسان رضوی,خلیل‌آباد,خلیل‌آباد,315,45008,49111,51701,1382,1382,Khalilabad,RazaviKhorasan,,,کاشمر,0914,*,No,
0930,09,No,خراسان رضوی,مه‌ولات,فیض‌آباد,326,47663,48900,51409,1384,1384,Mahvelat,RazaviKhorasan,بینالود,Binalud,تربت حیدریه,0905,*,No,
0931,09,No,خراسان رضوی,بجستان,بجستان,353,,30664,31207,1386,1386,Bajestan,RazaviKhorasan,,,گناباد,0915,*,No,
